"HolderAddress","Balance","PendingBalanceUpdate"
"0x3af35e74f8ca70ed1a7198c0ee2cee324c9c2ff8","539.936","No"
"0x3b40917f9df83d8edee46fad58e3c43173409e5c","36000","No"
"0x3b49b8c2eb78a770f87adf1883ed43f94479b3b1","87750","No"
"0x3be51fd46167e9449e24ca154b5e24d5e030de34","11000","No"
"0x3c6361b62de94b82fcd3d6b7a6107bde2c7a5ca6","2234279.97","No"
"0x3c68d82cf936f946ec8a8d7c507b09e918790b04","13978.961","No"
"0x3ca9a31daf5c62010c07552714b094ba81074887","35100","No"
"0x3cec0f67d027783ed47ac2edb122e9a0653e62f7","499009.218534408","No"
"0x3d356097790ab056f140fe9f004f50cc041278e8","3087.36083721684","No"
"0x3dda141553d0fcf61b504db81f557ca5a2f4ce47","1800","No"
"0x3e05c8dc108b8d1b0593bd609c253a91405520cb","13463.1695892155","No"
"0x3e108bcf5ea48811d58946f1fe83e6b8b582e6e6","21006.6268596335","No"
"0x3e2da426b283093288fa72d084d3809df825a519","36999.0374634025","No"
"0x3e300e8367a8c8fb4bd0e3c339be601d762c01e9","1755000","No"
"0x3e7939f3ea0fc46c4075347817ebf379a2cf8115","381500","No"
"0x3ec5d4955ae611cb3df0d339854dbad8e6b58f47","1884.69062099275","No"
"0x3f5b2419755ee4a122209e38416f3b056f98e9d4","5222.305","No"
"0x3f6cc729736e53500e316acb083dfc7abd878262","12922.802","No"
"0x3f8afdb70ca40c2e6f3f5e05b495ad357e5fa56a","6279.5717613226","No"
"0x3fc03fe3b470b50d8163db99db935976a6448fc3","9813.29622018058","No"
"0x4007a29053aa83af2f340c46cf39cdc59299eb84","26946.3954201204","No"
"0x404a2630fe6ef65f77928fad7974c9a68ae779db","8750.5301710033","No"
"0x406cbfc2d391bed42078138165465128b4e0cb06","49926.616266624","No"
"0x40ca586761d4db2476b0ccc97ba0d20b2c262ff1","12285","No"
"0x410a3773ac729154e63b0ca461b5662926ffec49","100","No"
"0x4113adf1dc788af33701b3ee4be1a4f3afc103bb","3948.63440800655","No"
"0x411e8fa8d718a5c2828f895356ac57b94285ac08","186906.26040055","No"
"0x4126da996bc4ef39e9b6158c45f14e5f10257289","30000","No"
"0x4133c1de60f9daf086e8181b43a57ad0eba10f40","2","No"
"0x418f7cde9c7de38f56869d38efb213f241874086","31765.00006709","No"
"0x42646bd72059092e2ed6c03cbf7540f661c47ce1","101737.589086816","No"
"0x42c7413bef1af01abfa7b4e9a5e129bec7b32798","100000","No"
"0x42dcd554cfc9d487bd14b8ab4df83a5fd9b1b6bc","10157.360605667","No"
"0x431c6cb0a6d07b1f917fe3d3689634d08bcd453e","12500","No"
"0x4342e82b94b128fccbe1bddf454e51336cc5fde2","14564.419337743","No"
"0x43681f57b3f5c6ce26cf3e828baa7bf5b38f84d4","18440.2667789779","No"
"0x43713a10826ef82053487d76fcc2aa697453af12","102863.163237392","No"
"0x43a435418ca97a2102403e318cbe06cfb0b17942","38.5608490476667","No"
"0x43d477ff6fb81f908525ac4b7f7eb8c529ed7682","17365.0680170178","No"
"0x44663d903bd52341445aa0f9856af6d3ec09288c","500000","No"
"0x44e3daf6bfa2905ea385cc56a4324819755b8fee","11823.9496700633","No"
"0x455359f8294aadc45d60e3c08c165a09a7932674","16972.72022862","No"
"0x45842999e225c6a81efdd5553bbdd70e68cc7ff4","5101.01639885583","No"
"0x45a6f22cf220bc8954ab051f02bbf4165de86224","5202.31","No"
"0x469dc8c29672e760f72ac1995626bfea7ef54c47","78106.936","No"
"0x46a03916158cc281d4b08e99597e39d98d1b14a0","6603.4019286354","No"
"0x46d920534c7680cec95f1f2b40f3dea00d8710c1","2617.0452632691","No"
"0x46dc7b62c843df5db3d0ad27959eecc280f68c81","3264.96115936","No"
"0x46f696dddbb9edbf504a4e0226016190995b6dc6","2038.4782226929","No"
"0x474a91a5a23c711f2fb1727246f937e0872a24e2","14677.9113971443","No"
"0x474b5e6b9ec0993c6c942158cb23bebceb4fb764","2846.30252496513","No"
"0x474f4a896e5410dc4b69c3fc2b736c9987e70a84","13817.8136740794","No"
"0x477755ed20250c5d1bf602d2cdbd7705a7cfbd5e","22806","No"
"0x478ab17d8d686904f1c2c0653b1d1d0fcb1115fb","39736.9228437715","No"
"0x480754979eb700a161e530af39378f32130a155a","386.1","No"
"0x48241fd342d0d34cf747380af22f8279f630e77c","589880.07","No"
"0x4844b16ad568bbe04511026b5ae8223e5b3bc0ea","2200","No"
"0x48575173736825c8ca6f3aa6ba5ddb7d8fd943db","2892.73495381452","No"
"0x48ac0ee95d91b0079c05419a704e6034f30cd919","9586.1575902625","No"
"0x48b0ce7764edff9f600b779aea992a0764c8ef10","64233","No"
"0x49195a3a40632ff2c11caed5737322a37f0b68e6","183976.637792363","No"
"0x491e94490251df18d1a455a3fc3c8fc64b419c28","794.649716677377","No"
"0x49373c9b31644bae4bb62c13e5fb8ba237b4256b","20000","No"
"0x497828695ab7572ee4380e8dbf57969c293675c1","45062.7387180121","No"
"0x49bab2ddf4e5271405450cee0b23e143796c3003","377212.17945454","No"
"0x4a379c000abc6fab178fcabe4503f42c8eabc63b","9087.662","No"
"0x4a7f87e5c23af024c0b0369d90d55bd49d8f6580","17073.065","No"
"0x4acf1a8bb202cfbe710e5d698d03bf8f47684b8e","791640","No"
"0x4b0c3a8d6ff0a091d9ef337c059cbac6189422e5","41817.555","No"
"0x4b8a718f7fa74e969a333bfff9021bf217c7a5e5","3130.63455059089","No"
"0x4b911ffd8d8c982faab3bd08c4dc786c6718b31f","59233.5892994543","No"
"0x4b9caa0ef57d9dc0c6d82ded7157d444b7a0dbf2","0.496","No"
"0x4ba0233fa3e96c6e974335635fb957d77449a14e","174286.997183486","No"
"0x4bdb031b7f3a831b186663a8d6e050f3b773b7cf","2713.76058642921","No"
"0x4bf3854e23c1ed5d72304a86c85d29640eace788","7077.36598454606","No"
"0x4c3d50688581f7f8669923793244d91c86a1a738","8088.14585379484","No"
"0x4d27f9eb16d6c1dff79e24441612a0c46a7919de","404395.918","No"
"0x4dc2c383072a11e8b5e25435b198d7acda5a6570","13030.1943000109","No"
"0x4e1acbb9fd16bf427ad02ace5e603b9912289d13","7646.19535195175","No"
"0x4e1cd3701a14004f07bcdc029465823ed7a2f145","66815.345","No"
"0x4e3f199660639b1324eaa9051fde555f23a57176","3039.79385169397","No"
"0x4ea9d2b9bf882ce338efdd4f31f4baff08ed40ca","123963.484","No"
"0x4eb99f642f4375e5dde298db421ca1c051a30b05","147037.262501091","No"
"0x4f5129e8f9110a4ce563fb40428838d18f1cdeb7","26384.9434259601","No"
"0x4f8393f724d2c5af6d61225ad7cf1d717c1648bf","57414.2059925327","No"
"0x4f89f621fcd1d33539f36a73509b21a4cd9c01b0","2408","No"
"0x4fa668aaa9cdb131697e0ec4f7fe039da621b5ec","56442","No"
"0x4fdd07b129cfe46630fda84540ca3d8f31a465a1","9010.74985900519","No"
"0x4ffeba1b2a33f2267126d6274bd070b5c843538b","317376.398993386","No"
"0x509a35f0392c104c65e12b3ac4611c14579f2b44","2500","No"
"0x50a23cf1c64e6a32c5bbdedc14f0d2154cfe5fd7","5644.08","No"
"0x50b0ef6323032c98aff68ed7df14c812439d2b3e","11129.6760381498","No"
"0x51c34ced61b5cf19776079c3ff239cd5f5ec03dc","14.186","No"
"0x51c6880ee353980e97f16878ce7a678052f45cd3","8078.4459637662","No"
"0x51f657512ff6ce2d5eb0cd9768f7d231a12850b9","175714.11","No"
"0x5215365ff04ae300d71b8fe908aac19a78e08c7d","62600.1818","No"
"0x52252839ab1f254e242c6b72639b22eb95363db0","6494.18991893782","No"
"0x5283a5f64f4815800c1941a34306c10dbee12601","88473.612555353","No"
"0x52ef55cedfc48e0d9c38d4190e1a8aa8404b5cfa","14105.8870294789","No"
"0x53daa880c555abe8559360ab3f3cdfbc64b7f162","11546.1537733829","No"
"0x53e265eda8afd4af534e3e2276b4c4633dc51641","10027.936","No"
"0x540594e428b4162ee0e04ef20537f1ef5d4601f1","928.952800230805","No"
"0x5418ac48859b4d12d78082325a4593fa57953a30","9340.31789111088","No"
"0x543081d731314714825888f4bf578eeeb06c417a","19862.8617833","No"
"0x54596b793ddec767e33079088e8d1d6f13ab1eaf","21340.223328032","No"
"0x545d28246a59d0c3b9c74a44ad017ff7f85259eb","18518.5255659042","No"
"0x550625b5c7e97981336aeeaa3c0c1dfe30572eb3","831.567963319207","No"
"0x5551106965809b65782df20e4413fcc7148a4eb4","100281.988","No"
"0x555e0e1dabd9bdb568a1d1357dedcefc21c3e25f","6003957.145","No"
"0x55790ab306d9bd2a8e0c517145b0b079c6e7b78a","8803","No"
"0x55b261b8622d780b775847b0beb484b88bd1c750","1501.17286086867","No"
